territory,name,class,year,area
576,tis,11,1989,3347.7642928491505
577,tis,11,1990,3164.5069662075343
578,tis,11,1991,3221.1216557262005
579,tis,11,1992,3243.978608749314
580,tis,11,1993,3262.262589004909
581,tis,11,1994,3309.9523204496713
582,tis,11,1995,3358.979437135697
583,tis,11,1996,3405.659998201991
584,tis,11,1997,3408.532855903586
585,tis,11,1998,3392.162043477981
586,tis,11,1999,3395.8046625260663
587,tis,11,2000,3403.8939694255405
588,tis,11,2001,3426.399623791087
589,tis,11,2002,3437.2181010781355
590,tis,11,2003,3404.8729784445222
591,tis,11,2004,3415.4601858665155
592,tis,11,2005,3401.3069556347336
593,tis,11,2006,3391.069915557015
594,tis,11,2007,3359.971131547726
595,tis,11,2008,3351.939551698265
596,tis,11,2009,3368.753121932932
597,tis,11,2010,3386.4117557761465
598,tis,11,2011,3416.2591609292044
599,tis,11,2012,3393.719354028869
600,tis,11,2013,3356.586523442836
601,tis,11,2014,3313.3363106468714
602,tis,11,2015,3338.34883954868
603,tis,11,2016,3268.9617594450215
604,tis,11,2017,3115.93302130809
605,tis,11,2018,3163.789858633771
606,tis,11,2019,3208.1618983146045
607,tis,11,2020,3197.9631609321054
608,tis,11,2021,3214.37920947642
609,tis,11,2022,3182.9893101661055
610,tis,11,2023,3092.16817159983
611,tis,11,2024,3171.495396844311
612,tis,12,1985,4491.3339485930155
613,tis,12,1986,4591.82437075156
614,tis,12,1987,4600.385158429216
615,tis,12,1988,4667.493294556828
616,tis,12,1989,4658.158732509467
617,tis,12,1990,4731.543907605748
618,tis,12,1991,4746.269959638472
619,tis,12,1992,4634.893572388829
620,tis,12,1993,4603.068678704238
621,tis,12,1994,4614.142820933315
622,tis,12,1995,4591.370659187042
623,tis,12,1996,4584.719827348822
624,tis,12,1997,4568.0120713735205
625,tis,12,1998,4569.950805103288
626,tis,12,1999,4602.599980508647
627,tis,12,2000,4652.499612236412
628,tis,12,2001,4622.202295639867
629,tis,12,2002,4629.091089027261
630,tis,12,2003,4628.727713515881
631,tis,12,2004,4617.789054287186
632,tis,12,2005,4596.392173689786
633,tis,12,2006,4614.071278724068
634,tis,12,2007,4630.284693150785
635,tis,12,2008,4613.031689262834
636,tis,12,2009,4614.309917120288
637,tis,12,2010,4575.839186592703
638,tis,12,2011,4564.147130917829
639,tis,12,2012,4590.194302032033
640,tis,12,2013,4604.549646088296
641,tis,12,2014,4597.39794170408
642,tis,12,2015,4618.58763887818
643,tis,12,2016,4573.586510597685
644,tis,12,2017,4643.905003579742
645,tis,12,2018,4670.395356983929
646,tis,12,2019,4678.5658685182225
647,tis,12,2020,4687.547387711956
648,tis,12,2021,4664.141874439755
649,tis,12,2022,4678.062000920718
650,tis,12,2023,4683.0856354788975
651,tis,12,2024,4596.222570055148
652,tis,13,1985,1298.5777717047627
